Year,Sample,Enclosure,CB,NV,WY,UT
2012,SBFLE008,LE,0.0033,0.9816,0.0056,0.0093
2012,SBFLE011,LE,0.0018,0.9821,0.011,0.0052
2012,SBFLE021,LE,0.0009,0.9878,0.0068,0.0043
2012,SBFLE045,LE,0.0018,0.9458,0.0028,0.0496
2012,SBFLE010,LE,0.0038,0.9867,0.0056,0.004
2012,SBFLE018,LE,0.001,0.5732,0.4195,0.0057
2012,SBFLE028,LE,0.0009,0.8104,0.0116,0.1775
2012,SBFLE035,LE,0.0018,0.9776,0.014,0.0065
2012,SBFLE038,LE,0.0017,0.9904,0.0038,0.0044
2012,SBFLE043,LE,0.0018,0.5173,0.0052,0.4758
2012,SBFLE044,LE,0.0028,0.5426,0.4507,0.0038
2012,SBFLE273A,LE,0.0077,0.9832,0.0029,0.0064
2012,SBFLE019,LE,0.0018,0.5209,0.0026,0.475
2012,SBFLE033,LE,0.0018,0.7378,0.0028,0.2575
2012,SBFLE034,LE,0.0007,0.0477,0.5198,0.4321
2012,SBFLE040,LE,0.0075,0.7845,0.004,0.2042
2012,SBFLE049,LE,0.0009,0.0202,0.0018,0.9774
2012,dead16,LE,0.0007,0.0303,0.0026,0.9667
2012,SBFLE005,LE,0.001,0.6797,0.0042,0.3151
2012,SBFLE024,LE,0.0093,0.722,0.0056,0.2634
2012,SBFALE3,LE,0.0057,0.986,0.0029,0.0055
2012,SBFLE026,LE,0.0067,0.986,0.0026,0.0044
2012,SBFLE036,LE,0.0048,0.9878,0.0027,0.0045
2012,SBFLE054,LE,0.0009,0.9922,0.002,0.0044
2012,SBFLE060,LE,0.0048,0.9872,0.0019,0.0063
2012,SBFLE061,LE,0.0061,0.9857,0.0022,0.0061
2012,SBFLE063,LE,0.0049,0.9882,0.0017,0.0052
2012,SBFN01,LE,0.0047,0.9883,0.002,0.0051
2012,dead12,LE,0.0018,0.987,0.0071,0.0043
2012,SBFLE051,LE,0.0029,0.5248,0.4612,0.0108
2012,SBFLE052,LE,0.0009,0.9928,0.0029,0.003
2012,SBFLE256A,LE,0.0027,0.9887,0.0046,0.0035
2012,SBFLE284A,LE,0.0019,0.9848,0.0039,0.009
2012,SBFLE002,LE,0.0009,0.7184,0.01,0.2705
2012,SBFLE012,LE,0.0009,0.9833,0.0126,0.0035
2012,SBFLE027,LE,0.0009,0.3434,0.0038,0.6521
2012,SBFLE032,LE,0.0009,0.3382,0.0193,0.6416
2012,SBFLE062,LE,0.0012,0.9881,0.0049,0.0055
2012,dead01,LE,0.0009,0.9842,0.0057,0.009
2012,SBFLE014,LE,0.0009,0.9925,0.0029,0.0035
2012,SBFLE022,LE,0.0009,0.9817,0.0086,0.009
2012,SBFLE025,LE,0.0007,0.9879,0.0056,0.006
2012,SBFLE029,LE,0.0009,0.9874,0.0042,0.0077
2012,SBFLE030,LE,0.0009,0.9843,0.0093,0.0052
2012,SBFLE056,LE,0.001,0.9855,0.0029,0.0102
2012,dead15,LE,0.0008,0.5662,0.0065,0.4272
2012,SBFLE006,LE,0.0008,0.0162,0.0017,0.9814
2012,SBFLE023,LE,0.0008,0.0207,0.0017,0.9773
2012,SBFLE041,LE,0.0008,0.014,0.0019,0.9834
2012,SBFLE047,LE,0.0017,0.5114,0.4809,0.0061
2012,SBFLE048,LE,0.0028,0.5036,0.4903,0.0034
2012,SBFLE055,LE,0.0006,0.5568,0.4277,0.015
2012,SBFLE001,LE,0.004,0.9898,0.0026,0.0035
2012,SBFLE013,LE,0.0018,0.9915,0.0021,0.0043
2012,SBFLE016,LE,0.0002,0.9847,0.0024,0.0125
2012,SBFLE020,LE,0.0153,0.9766,0.0026,0.0055
2012,SBFLE037,LE,0.0031,0.9848,0.0019,0.0104
2012,SBFLE053,LE,0.0009,0.9773,0.0044,0.0174
2012,SBFLE058,LE,0.0108,0.9794,0.0025,0.0074
2012,SBFLE059,LE,0.0009,0.992,0.0037,0.0035
2012,dead07,LE,0.0095,0.9827,0.0046,0.0035
2012,SBFLE009,LE,0.0011,0.9882,0.0056,0.0052
2012,SBFLE039,LE,0.0082,0.978,0.002,0.0118
2012,SBFLE050,LE,0.0018,0.9913,0.0026,0.0044
2012,SBFLE057,LE,0.0018,0.9886,0.0054,0.0043
2012,dead06,LE,0.0006,0.0195,0.9771,0.0026
2012,SBFLE003,LE,0.0008,0.7991,0.1945,0.0058
2012,SBFLE004,LE,0.0009,0.6723,0.3202,0.0068
2012,SBFLE007,LE,0.0008,0.0265,0.9698,0.0033
2012,SBFLE015,LE,0.0009,0.5614,0.4341,0.0038
2012,SBFLE042,LE,0.0009,0.7246,0.2645,0.0099
2012,dead11,LE,0.0009,0.0271,0.4405,0.5313
2012,SBFLE046,LE,0.0016,0.1562,0.4914,0.3508
2012,dead08,LE,0.0009,0.9894,0.0029,0.0067
2012,dead13,LE,0.0018,0.988,0.0022,0.008
2012,Allie,LE,0.0061,0.983,0.0046,0.0063
2012,Eva,LE,0.0009,0.9891,0.0019,0.0079
2012,OZ1718,LE,0.7495,0.2449,0.0025,0.0034
2012,OZ1721,LE,0.9086,0.0812,0.0052,0.0047
2012,OZ1725,LE,0.6262,0.3668,0.0047,0.0024
2012,OZ1729,LE,0.6724,0.3217,0.0026,0.0035
2012,SBFALE2,LE,0.0018,0.98,0.0021,0.016
2012,SBFLE013,LE,0.0018,0.9916,0.0022,0.0044
2012,SBFLE056,LE,0.0011,0.9854,0.0029,0.0104
2012,SBFLE057,LE,0.0018,0.9886,0.0055,0.0043
2012,SBFLE058,LE,0.0107,0.9796,0.0024,0.0074
2012,SBFLE059,LE,0.0009,0.9921,0.0037,0.0034
2012,SBFLE060,LE,0.0048,0.9872,0.0019,0.0063
2012,SBFLE061,LE,0.0061,0.9856,0.0021,0.0061
2012,SBFLE062,LE,0.0011,0.9879,0.0051,0.0056
2012,SBFLE063,LE,0.005,0.9884,0.0017,0.0052
2012,SBFLE064/24,LE,0.0017,0.5905,0.3975,0.0104
2012,SBFLE065,LE,0.0009,0.9802,0.0026,0.0163
