Year,Site,RP,Sample,CB,NV,WY,UT
2018,BH,BH1,LE1300,0.191444444,0.611444444,0.175222222,0.022
2018,BH,BH1,LE1301,0.265555556,0.579555556,0.134666667,0.020444444
2018,BH,BH1,SE900,0.145111111,0.657222222,0.154222222,0.043444444
2018,BH,BH1,SE902,0.144222222,0.658666667,0.151,0.046111111
2018,BH,BH1,WA302,0.2527,0.6061,0.1364,0.0045
2018,BH,BH2,SE901,0.121777778,0.690333333,0.157333333,0.030666667
2018,BH,BH2,LE1314,0.128333333,0.63,0.211222222,0.030333333
2018,BH,BH2,LE1315,0.151444444,0.642333333,0.160222222,0.045777778
2018,BH,BH2,WA303,0.1932,0.6727,0.1164,0.0179
2018,BH,BH2,WA314,0.2043,0.6564,0.1341,0.0053
2018,CB,CB1,LE1307,0.175555556,0.657888889,0.144555556,0.022222222
2018,CB,CB1,LE1308,0.200555556,0.611444444,0.168888889,0.019222222
2018,CB,CB1,LE1310,0.197666667,0.614666667,0.162888889,0.024777778
2018,CB,CB1,LE1312,0.162222222,0.670888889,0.146,0.020888889
2018,CB,CB1,WA305,0.1876,0.6575,0.1497,0.0053
2018,CB,CB1,WA306,0.1347,0.5818,0.2593,0.0239
2018,CB,CB1,WA310,0.1681,0.6338,0.1927,0.0056
2018,CB,CB1,WA315,0.1807,0.6756,0.1373,0.0064
2018,CB,CB2,LE1309,0.156888889,0.645888889,0.175777778,0.021444444
2018,CB,CB2,LE1311,0.129666667,0.675777778,0.176666667,0.017555556
2018,CB,CB2,LE1313,0.166,0.642222222,0.166222222,0.025555556
2018,CB,CB2,LE1316,0.169333333,0.634,0.171444444,0.025111111
2018,CB,CB2,WA308,0.1721,0.6798,0.144,0.0043
2018,CB,CB2,WA309,0.162,0.6074,0.2151,0.0155
2018,CB,CB2,WA313,0.1711,0.5542,0.2564,0.0185
2018,CB,CB2,WA316,0.1151,0.5972,0.271,0.0168
2018,CB,CB3,WA317,0.1319,0.7163,0.1453,0.0067
2019,BH,BH1,B2E-01,0.2514,0.636,0.0905,0.0217
2019,BH,BH1,B2E-04,0.1782,0.6879,0.1139,0.02
2019,BH,BH1,B2E-07,0.1931,0.686,0.1009,0.0199
2019,BH,BH1,B2E-08,0.2295,0.6729,0.0775,0.02
2019,BH,BH1,DE900,0.2282,0.6247,0.1257,0.0214
2019,BH,BH1,WA602,0.2513,0.6523,0.0812,0.0151
2019,BH,BH1,"WA601	",0.149636364,0.77,0.061090909,0.019454545
2019,BH,BH2,B2E-02,0.2173,0.6783,0.0819,0.0228
2019,BH,BH2,B2E-03,0.2041,0.6875,0.083,0.0254
2019,BH,BH2,B2E-06,0.2152,0.6674,0.0977,0.0196
2019,BH,BH2,B2E-05,0.2469,0.6504,0.0867,0.0161
2019,BH,BH2,DE901,0.1657,0.7173,0.0858,0.0316
2019,BH,BH2,WA603,0.4274,0.5342,0.0172,0.0213
2019,BH,BH2,WA600,0.167,0.687909091,0.129,0.016181818
2019,CB,CB1,B2E-019,0.1626,0.7115,0.1014,0.0243
2019,CB,CB1,B2E-021,0.2094,0.6932,0.0774,0.0201
2019,CB,CB1,B2E-023,0.2179,0.6868,0.0778,0.0175
2019,CB,CB1,B2E-025,0.2011,0.6969,0.0799,0.0222
2019,CB,CB1,B2E-017,0.2451,0.6642,0.0703,0.0205
2019,CB,CB1,B2E-020,0.2365,0.6398,0.0955,0.0281
2019,CB,CB1,B2E-028,0.2137,0.6743,0.0937,0.0183
2019,CB,CB2,B2E-09,0.2185,0.6648,0.1017,0.0152
2019,CB,CB2,B2E-024,0.1936,0.6688,0.1187,0.0189
2019,CB,CB2,"WA604	",0.1908,0.6197,0.1733,0.0163
2019,CB,CB2,B2E-018,0.2671,0.6398,0.0732,0.02
2019,CB,CB2,B2E-011,0.1956,0.6861,0.097,0.0214
2019,CB,CB2,B2E-012,0.2399,0.6534,0.0771,0.0299
2019,CB,CB2,B2E-022,0.2382,0.6773,0.0655,0.019
2019,CB,CB2,B2E-027,0.2319,0.6454,0.0963,0.026
2019,CB,CB3,B2E-010,0.2173,0.6848,0.0765,0.0214
2019,CB,CB3,B2E-015,0.2326,0.6576,0.091,0.0189
2019,CB,CB3,B2E-013,0.1818,0.7094,0.0848,0.024
2019,CB,CB3,B2E-014,0.2201,0.6699,0.0836,0.0261
2019,CB,CB3,B2E-026,0.2258,0.6764,0.0771,0.0209
2019,CB,CB3,DE903,0.2103,0.6499,0.1193,0.0205
