Year,Sample,CB,NV,WY,UT
2012,OZ1723,0.7274,0.2591,0.0089,0.0049
2012,SBFLE001,0.0555,0.9325,0.005,0.0069
2012,SBFLE007,0.0128,0.0593,0.9227,0.0055
2012,SBFLE009,0.0232,0.9563,0.0109,0.0091
2012,SBFLE010,0.0569,0.9242,0.0116,0.0074
2012,SBFLE011,0.0299,0.9391,0.0216,0.0098
2012,SBFLE012,0.0158,0.9537,0.0238,0.0069
2012,SBFLE016,0.009,0.965,0.0049,0.021
2012,SBFLE018,0.0242,0.5545,0.411,0.0105
2012,SBFLE025,0.0103,0.967,0.0115,0.0109
2012,SBFLE029,0.0161,0.961,0.0088,0.0138
2012,SBFLE032,0.0182,0.3343,0.0267,0.6204
2012,SBFLE035,0.0292,0.9316,0.0271,0.0121
2012,SBFLE037,0.0463,0.931,0.0039,0.0188
2012,SBFLE039,0.0895,0.881,0.0049,0.025
2012,SBFLE040,0.0871,0.6251,0.0088,0.279
2012,SBFLE041,0.0124,0.0365,0.0039,0.9472
2012,SBFLE042,0.0223,0.6783,0.282,0.0177
2012,SBFLE043,0.0319,0.4565,0.01,0.5018
2012,SBFLE045,0.0322,0.884,0.0059,0.0776
2012,SBFLE046,0.0218,0.1908,0.451,0.3361
2012,SBFLE049,0.0163,0.0519,0.0039,0.9282
2012,SBFN10,0.3562,0.6301,0.0059,0.0079
2012,SBFSE004,0.6759,0.3118,0.0068,0.0059
2012,SBFSE007,0.0194,0.9599,0.011,0.0092
2012,SBFSE025,0.0596,0.9148,0.0106,0.0147
2012,SBFSE028,0.3572,0.1143,0.5099,0.0186
2012,SBFSE029,0.8001,0.1911,0.0049,0.0039
2012,SBFSE031,0.2951,0.6773,0.0081,0.0192
2012,SBFSE039/014,0.323,0.648,0.0088,0.0202
2012,SBFSE045,0.0784,0.9012,0.0081,0.0121
2012,SBFSE047,0.009,0.3516,0.6282,0.0109
2012,SBFSE048,0.013,0.9667,0.0134,0.0069
2012,SBFSE062/024,0.7913,0.1954,0.0068,0.0069
2012,SBFSE064,0.6028,0.3813,0.0087,0.0079
2012,SBFSE068,0.2053,0.7788,0.0074,0.0088
2012,SBFSE069,0.3259,0.2418,0.0149,0.417
2012,SBFSE070,0.038,0.943,0.0078,0.0111
2012,SBFSE071,0.3428,0.2428,0.3985,0.0163
2012,SBFSE080/055,0.0137,0.9469,0.0198,0.0198
2012,SBFSE081,0.0494,0.9348,0.0058,0.01
2012,SW001,0.6106,0.3724,0.011,0.0059
2012,SW002,0.535,0.4416,0.0181,0.005
2012,SW003,0.5362,0.4388,0.0186,0.0061
2012,SW004,0.4363,0.5486,0.0078,0.0069
2013,DE230,0.2499,0.6229,0.1204,0.0067
2013,DE244,0.0501,0.4868,0.459,0.0042
2013,DE279,0.0496,0.4393,0.5062,0.0049
2013,DE283,0.1066,0.2502,0.6389,0.0042
2013,DE324,0.3151,0.2801,0.4018,0.003
2013,DE328,0.2314,0.6561,0.1056,0.0068
2013,SBFLE037,0.0941,0.8624,0.031,0.0126
2013,SBFLE064/249A,0.0587,0.5483,0.3816,0.0113
2013,SBFLE205,0.3268,0.6127,0.0549,0.0058
2013,SBFLE206,0.1702,0.7312,0.0938,0.0047
2013,SBFLE234,0.0466,0.5031,0.4456,0.0047
2013,SBFLE239,0.0803,0.8405,0.0679,0.0114
2013,SBFLE251,0.0696,0.5048,0.4091,0.0163
2013,SBFLE252,0.139,0.5097,0.347,0.0042
