Year,SITE,Sample,Sex,Distance
2017,BH,LE1238,F,131
2017,BH,LE1223,F,112
2017,BH,LE1235,M,250
2017,BH,LE1230,F,166
2017,BH,LE1236,M,146
2018,BH,SE900,M,36
2018,BH,WA303,F,79.2
2019S,BH,B2E07,M,133
2019S,BH,B2E08,M,367.7
2019S,BH,B2E32,M,71
2019S,BH,B2E33,M,157.3
2019S,BH,B2E34,M,380.7
2019,BH,B2E01,M,454.3
2019,BH,B2E04,F,14
2019,CB,B2E15,F,37
2019,CB,B2E19,F,251
2019,CB,B2E21,M,748
2019,CB,B2E24,F,184
2018,CB,WA309,F,201.5
2018,CB,WA306,M,315
2019S,CB,B2E12,F,177
2019S,CB,B2E19,F,262
2019S,CB,B2E22,M,265
2019S,CB,B2E24,F,536.5
2019S,CB,DE903,M,173.7
