Year,SITE,Sample,Sex,Distance
2017,BH,LE1238,F,160
2017,BH,LE1223,F,187
2017,BH,LE1235,M,250
2017,BH,LE1230,F,166
2017,BH,LE1236,M,123
2018,BH,SE900,M,36
2018,BH,WA303,F,79.2
2019S,BH,B2E07,M,133
2019S,BH,B2E08,M,367.7
2019S,BH,B2E32,M,71
2019S,BH,B2E33,M,157.3
2019S,BH,B2E34,M,380.7
2019,BH,B2E01,M,454.3
2019,BH,B2E04,F,14
2019,CHB,B2E15,F,37
2019,CHB,B2E19,F,251
2019,CHB,B2E21,M,748
2019,CHB,B2E24,F,184
2018,CHB,WA309,F,201.5
2018,CHB,WA306,M,315
2019S,CHB,B2E12,F,177
2019S,CHB,B2E19,F,262
2019S,CHB,B2E22,M,265
2019S,CHB,B2E24,F,536.5
2019S,CHB,DE903,M,173.7
2014,SBF,BE419,F,11
2012,SBF,SBFLE042,M,80
2012,SBF,SBFSE025,M,83
2014,SBF,DE589,F,86
2012,SBF,SBFLE032,F,119
2013,SBF,DE328,M,123
2012,SBF,SBFSE004,F,126
2013,SBF,SBFSE328,F,141
2012,SBF,SBFSE045,M,143
2014,SBF,DE415,F,170
2012,SBF,SBFLE041,M,172
2012,SBF,SBFSE064,F,182
2012,SBF,SBFSE007,F,190
2014,SBF,SBFLE615,F,199
2012,SBF,SBFSE080/055,F,215
2013,SBF,SBFSE327,F,241
2014,SBF,DE582,F,251
2013,SBF,SBFSE325,M,253
2013,SBF,SBFSE343,F,285
2014,SBF,SBFLE665,M,292
2012,SBF,SBFLE012,F,302
2014,SBF,SBFLE664,F,322
2012,SBF,SBFLE009,F,333
2014,SBF,DE593,F,333
2014,SBF,BE495,M,341
2014,SBF,SBFLE654,M,364
2014,SBF,BE493,F,369
2012,SBF,SBFSE029,M,370
2014,SBF,BE480,M,395
2014,SBF,SBFLE651,M,398
2012,SBF,SBFSE069,M,403
2014,SBF,SBFLE643,F,412
2012,SBF,SBFLE010,F,427
2014,SBF,SBFLE632,M,430
2014,SBF,DE604,M,441
2014,SBF,BE512,M,453
2013,SBF,SBFSE291,F,459
2013,SBF,SBFSE323,M,473
2014,SBF,DE419,F,504
2014,SBF,SBFSE523,F,507
2013,SBF,DE230,M,510
2014,SBF,SBFLE606,F,514
2012,SBF,SBFLE029,F,522
2014,SBF,DE574,F,539
2013,SBF,SBFSE347,M,566
2014,SBF,BE443,M,570
2014,SBF,DE577,M,570
2012,SBF,SBFSE031,F,575
2014,SBF,DE628,M,598
2014,SBF,BE464,F,600
2014,SBF,SBFLE567,M,632
2012,SBF,SBFLE016,F,647
2012,SBF,SBFLE046,F,650
2012,SBF,SBFLE049,F,656
2013,SBF,SBFSE339,M,667
2013,SBF,SBFLE205,M,675
2016,SBF,BE1259,F,699
2013,SBF,SBFSE324,F,706
2013,SBF,SBFLE251,M,716
2014,SBF,BE483,F,721
2014,SBF,SBFLE672,F,725
2012,SBF,SBFSE070,M,740
2012,SBF,SBFLE007,F,742
2013,SBF,SBFSE326,F,749
2012,SBF,SBFLE039,M,776
2013,SBF,SBFSE345,F,782
2014,SBF,SBFLE656,M,784
2014,SBF,DE456,F,790
2014,SBF,SBFLE522,F,814
2014,SBF,DE471,F,827
2014,SBF,SBFLE416,F,827
2013,SBF,SBFSE309,F,842
2014,SBF,SBFLE531,M,845
2013,SBF,SBFSE287,M,869
2014,SBF,SBFLE638,F,869
2014,SBF,SBFLE571,M,870
2012,SBF,SBFSE071,F,903
2014,SBF,SBFLE464,F,913
2014,SBF,SBFLE593,M,913
2014,SBF,SBFLE464,F,916
2012,SBF,SBFSE081,M,953
2012,SBF,SBFLE035,M,970
2016,SBF,BE1273,F,976
2014,SBF,BE401,M,1006
2012,SBF,OZ1723,F,1041
2014,SBF,SBFLE523,F,1053
2014,SBF,SBFLE530,F,1058
2014,SBF,DE486,F,1101
2012,SBF,SBFLE043,F,1118
2014,SBF,SBFSE572,M,1143
2012,SBF,SBFLE018,F,1145
2014,SBF,BE506,M,1160
2012,SBF,SBFLE001,F,1208
2014,SBF,SBFLE408,M,1246
2014,SBF,DE614,F,1253
2014,SBF,DE467,F,1267
2012,SBF,SBFLE025,M,1296
2014,SBF,DE544,M,1300
2013,SBF,SBFSE315,F,1312
2014,SBF,BE442,M,1312
2012,SBF,SBFLE040,F,1320
2013,SBF,SBFSE257,F,1335
2014,SBF,SBFSE493,M,1374
2014,SBF,DE521,F,1448
2013,SBF,SBFSE231,F,1460
2013,SBF,SBFSE212,M,1507
2016,SBF,LE1046,M,1588
2012,SBF,SBFN10,M,1595
2012,SBF,SBFSE014/039,F,1600
2012,SBF,SBFLE045,F,1621
2012,SBF,SBFSE024/062,F,1662
2014,SBF,DE514,F,1674
2013,SBF,DE244,M,1704
2012,SBF,SBFSE068,M,1840
2014,SBF,SBFLE404,F,1845
2014,SBF,SBFSE540,M,1852
2013,SBF,SBFLE252,F,1965
2014,SBF,BE496,M,1977
2014,SBF,BE473,M,2098
2013,SBF,SBFLE239,F,2118
2013,SBF,SBFSE322,M,2151
2014,SBF,DE424,F,2214
2013,SBF,SBFLE206,M,2228
2014,SBF,SBFLE421,M,2259
2012,SBF,SBFLE011,F,2336
2016,SBF,LE1012,M,2528
2012,SBF,SBFLE037,M,2581
2016,SBF,LE1016,M,2597
2014,SBF,SBFLE559,M,2884
2014,SBF,DE412,F,3009
2014,SBF,SBFSE491,M,3042
2014,SBF,DE575,M,3230
2014,SBF,DE617,M,3546
