RELEASE_YEAR	SAMPLE	Detections	Release_Date	Weight	CB_ANCESTRY	HL	Sex
2016	BE1205	0	113	160	0.073444444	0.346825937	2
2016	BE1206	0	113	177	0.146111111	0.597225156	2
2016	BE1207	0	113	149	0.316888889	0.157470886	2
2016	BE1204	0	113	132	0.099666667	0.168236126	2
2014	BE0401	1	115	314	0.548333333	0.230430902	1
2014	BE0402	0	115	151	0.408222222	0.174754456	2
2014	BE0403	0	115	158	0.027777778	0.111046298	1
2014	BE0404	0	115	168	0.710888889	0.328769647	2
2014	BE0406	0	115	283	0.048888889	0.053463798	1
2014	BE0407	0	115	207	0.419777778	0.417164995	1
2014	BE0409	0	115	347	0.601	0.181875938	1
2014	BE0410	0	115	174	0.658222222	0.328683864	2
2014	BE0412	0	115	176	0.328333333	0.1031708	2
2016	LE1003	0	119	195	0.291111111	0.313084792	1
2016	LE1004	0	119	154	0.169777778	0.341551807	1
2016	LE1005	0	119	298	0.182111111	0.238399278	1
2016	LE1001	0	160	368	0.188333333	0.215511201	2
2016	LE1006	0	163	189	0.149666667	0.16868103	2
2016	LE1008	0	163	128	0.191222222	0.173409196	2
2016	LE1011	0	163	218	0.118555556	0.055858986	2
2016	LE1012	1	163	126	0.105111111	0.255246874	1
2016	LE1013	0	163	268	0.233444444	0.291970085	2
2016	LE1014	0	163	129	0.271222222	0.226237732	1
2016	LE1015	0	163	249	0.291777778	0.053325402	1
2016	LE1016	1	163	230	0.250444444	0.235586633	1
2016	LE1017	0	163	192	0.122555556	0.411054227	1
2016	LE1018	0	163	212	0.100333333	0.349591568	1
2016	LE1019	0	163	273	0.117777778	0.118974028	2
2016	LE1020	0	163	257	0.322	0.294249364	2
2016	LE1021	0	163	128	0.163222222	0.349440261	2
2016	BE1208	0	164	127	0.125666667	0.234636814	2
2016	BE1209	0	164	135	0.213333333	0.526519688	1
2016	BE1210	0	164	231	0.311	0.162597306	1
2016	BE1211	0	164	184	0.177777778	0.460451228	2
2016	LE1022	0	177	188	0.140333333	0.157811158	2
2015	SBFSE701	0	107	158	0.1243	0.194443178	1
2016	BE1264	0	111	219	0.275777778	0.105565988	1
2016	BE1266	0	111	425	0.266777778	0.282941269	1
2016	BE1269	0	111	371	0.091777778	0.161954025	1
2016	BE1270	0	111	247	0.277222222	0.102476637	2
2016	BE1271	0	111	365	0.083777778	0.280208376	1
2015	SBFLE702	0	112	208	0.0853	0.103032404	2
2014	SBFSE402	0	112	238	0.152777778	0.053325402	1
2014	SBFSE414	0	112	224	0.029888889	0.221066974	1
2014	DE403	0	112	234	0.012888889	0.120795963	2
2014	DE405	0	112	180	0.029888889	0.232109006	1
2014	DE409	0	112	253	0.019222222	0.525205819	2
2014	DE410	0	112	202	0.014777778	0.461303739	1
2014	DE412	1	112	155	0.045222222	0.191926729	2
2014	DE413	0	112	223	0.013	0.245787364	1
2014	DE419	1	112	245	0.011777778	0.107289501	2
2014	DE420	0	112	218	0.032888889	0.484186888	1
2014	DE422	0	112	156	0.027222222	0.107763885	2
2014	DE424	1	112	169	0.024333333	0.235188627	2
2014	DE425	0	112	151	0.015333333	0.370471128	1
2014	SBFSE403	0	112	236	0.016777778	0.059258942	1
2014	SBFSE405	0	112	209	0.031111111	0.22684866	2
2014	SBFSE408	0	112	241	0.028111111	0.165804199	2
2014	SBFSE412	0	112	222	0.046777778	0.053463798	1
2015	SBFLE703	0	112	214	0.0865	0.283934062	2
2015	SBFLE704	0	112	336	0.1123	0.115644616	2
2015	SBFLE705	0	112	258	0.2756	0.113976981	1
2015	SBFLE708	0	112	197	0.211	0.260829461	1
2015	SBFLE709	0	112	149	0.3511	0.1739398	2
2015	SBFLE713	0	112	193	0.3087	0.19378984	1
2015	SBFLE715	0	112	162	0.236	0.169653503	1
2015	SBFLE716	0	112	209	0.1912	0.293918276	2
2015	SBFLE717	0	112	182	0.07	0.377121969	2
2015	SBFLE718	0	112	217	0.1539	0.223152547	2
2015	SBFLE720	0	112	187	0.2398	0.188542863	1
2015	SBFLE721	0	112	139	0.1879	0.052769636	2
2015	SBFLE724	0	112	141	0.2424	0.178506326	2
2015	SBFLE712	0	112	167	0.3328	0.1962745	2
2015	SBFLE707	0	112	270	0.2556	0.310713706	1
2015	SBFLE723	0	112	203	0.0655	0.249752164	1
