RELEASE YEAR	SAMPLE	Detections	Release Date	Weight	CB_ANCESTRY	HL	Sex
2015	SBFSE583	0	42	451	0.0581	0.284800631	2
2015	SBFSE376	0	49	588	0.027333333	0.216897393	1
2015	SBFSE374	0	65	401	0.023222222	0.057582499	2
2014	SBFSE051	0	71	402	0.067666667	0.107289501	2
2014	SBFSE244	0	71	422	0.426555556	0.118529124	2
2014	SBFSE367	0	71	427	0.155888889	0	2
2014	SBFSE368	0	71	409	0.026555556	0.219834888	2
2014	Popsicle	0	78	451	0.013777778	0.425366079	2
2014	SBFLE013	0	78	407	0.046777778	0.224108229	2
2014	SBFLE241	0	78	421	0.541111111	0.292180134	2
2014	SBFLE268	0	78	397	0.098333333	0.291799533	2
2014	SBFLE273A	0	78	399	0.079888889	0.22284306	2
2014	SBFLE274	0	78	464	0.0197	0.2741523	2
2014	SBFLE276	0	78	417	0.05	0.112764062	2
2014	SBFLE277	0	78	419	0.044777778	0	2
2014	SBFLE278	0	78	440	0.025	0.237806733	2
2014	SBFLE279	0	78	401	0.023555556	0.10982767	2
2014	SBFSE209	0	78	457	0.324888889	0.180500638	2
2014	OZ1718	0	79	457	0.7349	0.356021056	2
2014	SBFLE204	0	79	471	0.266111111	0	2
2014	SBFLE280	0	79	432	0.149666667	0.354686717	2
2014	SBFLE282	0	79	428	0.022777778	0.427307921	2
2014	SBFLE283	0	79	411	0.087555556	0.341327064	2
2016	LEA03/LE1063	0	119	397	0.183777778	0.329274301	2
2014	SBFSE084	0	150	412	0.016222222	0.107069723	2
2014	DE341	0	156	467	0.001222222	0.359560853	2
2016	LE1035	0	160	446	0.221333333	0.242828354	1
2014	SBFLE489	0	162	412	0.0304	0.057192994	1
2014	SBFLE562	0	176	441	0.4072	0.114538028	2
2014	SBFSE372A	1	176	527	0.107444444	0.22038955	2
2014	SBFSE216	0	176	598	0.176888889	0.17087213	1
2014	SBFSE346A	0	176	500	0.038333333	0.2990827	2
2014	SBFSE377	0	176	502	0.025111111	0.252049455	2
2013	SBFSE318	0	180	475	0.44775	0.159866074	1
2014	SBFLE597A	0	182	535	0.075666667	0.156776724	1
2014	SBFSE360	0	182	521	0.078	0.266099508	2
2014	SBFSE373	0	182	556	0.028222222	0.220579132	2
2016	BE1255	0	189	409	0.335111111	0.275784516	2
2016	BE1257	0	189	529	0.298222222	0.364202655	2
2016	BE1258	0	189	463	0.089444444	0.159029786	1
2015	BE0930A	0	190	542	0.3404	0.332060591	2
2016	BE1273	1	202	454	0.277777778	0.385133518	1
2016	BE1265	0	202	500	0.184555556	0.338654263	2
2016	BE1268	0	202	472	0.343222222	0.409357564	1
2016	DE706	0	203	503	0.231666667	0.251884179	1
2014	SBFSE569A	0	205	527	0.318	0.129708438	2
2016	BE1279	0	217	468	0.162444444	0.454149108	1
2016	BE1276	0	217	506	0.287222222	0.525181944	1
2014	SBFLE269	0	218	464	0.020666667	0.284395001	2
2014	SBFLE641A	0	218	477	0.048666667	0.183563621	2
2014	SBFSE352	1	219	489	0.059	0.180981578	1
2014	SBFSE378A	1	219	525	0.052222222	0.225486802	2
2014	DE272	0	219	592	0.000888889	0.389907208	1
2014	SBFSE040	0	219	105	0.048111111	0.252852078	2
2014	SBFSE215	0	219	547	0.336777778	0.222359242	2
2014	SBFSE218	0	219	504	0.091888889	0.11292081	1
2014	SBFSE238	0	219	515	0.276555556	0.161778005	1
2014	SBFSE359	0	219	544	0.029777778	0.284124035	1
2014	SBFSE361	0	219	615	0.312777778	0.112028578	1
2014	SBFSE375	0	219	521	0.314222222	0.246356705	1
2014	SBFSE578A	0	219	573	0.354222222	0.234422334	1
2015	SBFLE795A	0	224	493	0.0604	0	2
2014	DE353	0	225	579	0.001555556	0.287886133	1
2014	DE586A	0	225	586	0.016222222	0.335778213	1
2014	DE594A	0	225	519	0.013111111	0.456976338	2
2014	SBFLE229	0	225	591	0.385333333	0.116142468	1
2015	BE0972A	0	225	581	0.6117	0.312336824	2
2015	BE0991A	0	225	540	0.4157	0.249543878	2
2013	SBFLE064/249A	1	226	567	0.0382	0.129752337	1
2013	SBFALE1/LE263	0	226	574	0.0328	0.227330809	1
2013	SBFSE344A	1	227	516	0.11375	0.2741523	1
2013	SBFSE349A	1	227	602	0.373875	0.052769636	2
2013	SBFSE015/332	0	227	568	0.299625	0.101952172	1
2013	SBFSE085/337	0	227	426	0.065375	0.052245171	1
2013	SBFSE087/334	0	227	560	0.047	0.111778554	1
2013	SBFSE330A	0	227	582	0.0659	0.234840786	1
2015	Jack	0	231	409	0.3057	0.39161751	2
2015	SBFLE309	0	231	526	0.0797	0.236666865	2
2015	DE406	0	259	604	0.223	0.215868042	1
2015	BE0878A	0	259	591	0.4229	0.239730931	1
2015	BE0888A	0	259	522	0.3336	0.247201069	1
2015	SBFSE052	0	259	541	0.0488	0.212355188	2
2015	BE0866A	0	259	540	0.232	0.474119355	1
2015	Pierre	0	259	451	0.0669	0.28447248	2
2015	BE0417	0	260	454	0.106777778	0.177558201	2
2015	SBFLE803A	0	260	520	0.1011	0	2
2014	SBFSE013	0	261	192	0.212777778	0.133138683	2
2014	SBFSE041	0	261	500	0.127555556	0.059405488	1
2014	SBFSE260	0	261	507	0.352222222	0.295426804	1
2014	SBFSE366	0	261	462	0.042111111	0.230041769	1
2014	SBFSE379	0	261	468	0.077	0.346395994	1
2015	SBFLE298	0	266	498	0.1191	0.115826696	1
2015	SBFLE648	0	266	422	0.2211	0	2
2015	BE0895A	0	267	537	0.1537	0.053463798	1
2015	BE0798A	0	267	398	0.1466	0.261445906	2
2015	BE0816A	0	267	558	0.1	0.163148487	1
2015	DE421	0	267	552	0.2324	0.230134774	1
2015	SBFSE248	0	267	643	0.4403	0.049707001	1
2015	SBFLE290	0	271	468	0.0734	0.192854956	2
2015	BE0891A	0	273	578	0.0593	0.372723009	1
2015	BE1088A	0	273	537	0.1246	0.226770076	1
2015	BE1093A	0	273	566	0.0734	0.123012166	1
2015	SBFSE230	0	273	519	0.2935	0.054300087	1
2015	SBFSE355	0	273	531	0.06	0.235104754	2
2015	SBFSE356	0	273	522	0.0805	0.235508962	2
2015	SBFLE058	0	287	610	0.1759	0.306284247	1
2015	SBFLE270	0	287	465	0.1413	0.184223566	1
2015	SBFLE293	0	287	535	0.3296	0.327575584	1
2015	SBFLE883A	0	287	468	0.1552	0.18417775	2
2015	SBFLE889A	0	287	516	0.0851	0.221393788	1
2014	DE201	1	288	627	0.027444444	0.124652838	1
2014	DE345	1	288	530	0.000888889	0.114380943	2
2014	DE622A	1	288	478	0.014777778	0.373487254	2
2014	SBFLE243	1	288	496	0.276222222	0.250038511	1
2014	Taggart	1	288	429	0.012111111	0.240186659	2
2014	DE354	0	288	544	0.000888889	0.049707001	2
2014	SBFLE225	0	288	540	0.526222222	0.059755251	1
2014	SBFLE227	0	288	591	0.518444444	0.301666529	1
2014	SBFLE232	0	288	550	0.329555556	0.049707001	1
2014	SBFSE279	0	288	608	0.370111111	0.115448306	1
2015	BE0880A	0	288	519	0.3378	0.232413956	2
2015	BE0939A	0	288	542	0.159	0.274740822	1
2015	DE411	0	288	532	0.1766	0.170782827	1
2014	SBFLE219	1	296	513	0.357888889	0.065203722	1
2014	SBFLE223	1	296	518	0.056666667	0.175128064	1
2014	SBFLE275	1	296	555	0.020222222	0.106233434	1
2014	SBFLE305	1	296	487	0.337	0.180652028	2
2014	SBFLE649A	1	296	439	0.484666667	0.285088691	2
2014	SBFLE651	1	296	428	0.0654	0.049707001	2
2014	SBFLE057	0	296	428	0.0243	0.126942408	1
2014	SBFLE246	0	296	622	0.714444444	0.407075523	1
2014	SBFLE286	0	296	505	0.036555556	0.171161217	2
2014	SBFLE299	0	296	579	0.481333333	0.057582499	1
2014	SBFLE657A	0	296	443	0.039777778	0.18417775	2
2014	SBFSE305	0	296	446	0.145666667	0.052245171	2
2014	SBFLE065	1	297	571	0.030777778	0.135667097	1
2014	SBFLE202	1	297	546	0.189	0.163815934	2
2014	SBFLE304	1	297	525	0.021555556	0.067455404	2
2014	DE211	0	297	521	0.000888889	0.521238775	1
2014	DE217	0	297	552	0.004111111	0.059258942	2
2014	DE228	0	297	569	0.001444444	0.114071456	1
2014	SBFLE211	0	297	651	0.409555556	0.118664541	1
2014	SBFLE255	0	297	667	0.042777778	0.058087615	1
2014	SBFLE281	0	297	657	0.321222222	0.234668613	1
2014	SBFLE288	0	297	641	0.0161	0.174192125	1
2014	SBFLE289	0	297	565	0.020888889	0.053463798	1
2014	SBFLE291	0	297	604	0.124666667	0.221255392	1
2014	SBFLE297	0	297	570	0.496666667	0.124293439	1
2014	SBFLE301	0	297	617	0.396666667	0.129328969	1
2014	SBFLE660A	0	297	491	0.039666667	0.052245171	1
2014	SBFLE662A	0	297	475	0.420111111	0.22301488	2
