Sample	Year	Weight	Location	AREA	ORIGIN	Sex	CB_ANCESTRY	HL	Release_Day	DETECTION
LE1307	2018	134	BD3-18	BD	ENCLOSURE	1	0.1868	0.169123524	164	0
LE1308	2018	121	BD3-18	BD	ENCLOSURE	1	0.2069	0.285575532	164	0
LE1310	2018	99	BD3-18	BD	ENCLOSURE	1	0.2048	0.237942513	164	0
LE1312	2018	198	BD3-18	BD	ENCLOSURE	0	0.1679	0.277866025	179	0
WA305	2018	239	BD3-18	BD	SBF	1	0.1876	0.384463623	200	0
WA310	2018	342	BD3-18	BD	SBF	0	0.1681	0.165491355	206	0
WA315	2018	436	BD3-18	BD	SBF	1	0.1807	0.162091887	207	0
WA306	2018	398	BD3-18	BD	SBF	0	0.1517	0.050880725	201	1
B2E0017	2019	223	BD3-19	BD	ENCLOSURE	0	0.2451	0.237133115	176	0
B2E0019	2019	292	BD3-19	BD	ENCLOSURE	1	0.1626	0.314562066	176	1
B2E0020	2019	394	BD3-19	BD	ENCLOSURE	1	0.2365	0.406317344	176	0
B2E0021	2019	216	BD3-19	BD	ENCLOSURE	0	0.2094	0.067179959	176	1
B2E0023	2019	202	BD3-19	BD	ENCLOSURE	1	0.2179	0.270682625	184	1
B2E0025	2019	283	BD3-19	BD	ENCLOSURE	0	0.2011	0.34051336	184	1
B2E0028	2019	158	BD3-19	BD	ENCLOSURE	1	0.2137	0.296431571	184	1
LE1309	2018	129	BD4-18	BD	ENCLOSURE	1	0.1682	0.35659001	164	0
LE1311	2018	117	BD4-18	BD	ENCLOSURE	1	0.141	0.115936017	164	0
LE1313	2018	176	BD4-18	BD	ENCLOSURE	0	0.1712	0.234067524	179	0
WA308	2018	381	BD4-18	BD	SBF	0	0.1721	0.116593652	206	0
WA309	2018	373	BD4-18	BD	SBF	1	0.1793	0.18988456	206	1
WA313	2018	375	BD4-18	BD	SBF	0	0.1878	0.414805896	206	1
WA316	2018	460	BD4-18	BD	SBF	1	0.1366	0.230344297	207	1
LE1316	2018	432	BD4-18	BD	ENCLOSURE	0	0.1748	0.231224517	223	1
B2E0009	2019	196	BD4-19	BD	ENCLOSURE	0	0.2158	0.27209907	164	0
B2E0011	2019	213	BD4-19	BD	ENCLOSURE	0	0.2671	0.262588654	164	0
B2E0012	2019	178	BD4-19	BD	ENCLOSURE	1	0.1956	0.249982294	164	0
B2E0018	2019	123	BD4-19	BD	ENCLOSURE	1	0.2399	0.348961442	176	0
B2E0022	2019	240	BD4-19	BD	ENCLOSURE	0	0.2382	0.295632291	176	0
B2E0024	2019	191	BD4-19	BD	ENCLOSURE	1	0.2185	0.162982224	184	1
B2E0027	2019	207	BD4-19	BD	ENCLOSURE	1	0.2319	0.174151904	184	0
WA00604	2019	298	BD4-19	BD	SBF	0	0.1936	0.294215846	198	1
WA317	2018	226	BD5-18	BD	SBF	1	0.1319	0.062323577	212	1
B2E0010	2019	175	BD5-19	BD	ENCLOSURE	1	0.2173	0.292242941	164	1
B2E0013	2019	218	BD5-19	BD	ENCLOSURE	0	0.2201	0.318477524	164	0
B2E0014	2019	187	BD5-19	BD	ENCLOSURE	1	0.2258	0.210483716	164	0
B2E0015	2019	185	BD5-19	BD	ENCLOSURE	1	0.2326	0.291403191	164	1
DE00903	2019	337	BD5-19	BD	ENCLOSURE	0	0.2103	0.270591568	183	0
B2E0026	2019	181	BD5-19	BD	ENCLOSURE	0	0.1818	0.22203786	184	1
LE1300	2018	300	BH1-18	BH	ENCLOSURE	1	0.2002	0.239035199	142	0
LE1301	2018	173	BH1-18	BH	ENCLOSURE	1	0.2795	0.25323	142	1
SE900	2018	202	BH1-18	BH	ENCLOSURE	0	0.1529	0.247695748	143	1
SE902	2018	268	BH1-18	BH	ENCLOSURE	0	0.1506	0.306913263	164	0
WA302	2018	416	BH1-18	BH	SBF	1	0.2527	0.115794373	193	0
B2E0001	2019	177	BH1-19	BH	ENCLOSURE	0	0.2514	0.28191301	223	1
B2E0004	2019	209	BH1-19	BH	ENCLOSURE	1	0.1782	0.284351319	136	1
B2E0007	2019	187	BH1-19	BH	ENCLOSURE	0	0.1931	0.268143142	136	0
B2E0008	2019	195	BH1-19	BH	ENCLOSURE	0	0.2295	0.236991471	136	0
WA00601	2019	257	BH1-19	BH	SBF	0	0.2282	0.370835399	149	0
DE00900	2019	317	BH1-19	BH	ENCLOSURE	1	0.2513	0.321816287	163	0
WA00602	2019	304	BH1-19	BH	SBF	1	0.149636364	0.303685792	191	0
SE901	2018	79	BH2-18	BH	ENCLOSURE	1	0.1314	0.345187628	164	0
LE1314	2018	160	BH2-18	BH	ENCLOSURE	0	0.1373	0	179	0
LE1315	2018	211	BH2-18	BH	ENCLOSURE	1	0.1623	0.176711622	179	1
WA303	2018	365	BH2-18	BH	SBF	1	0.1823	0.332490211	193	0
WA314	2018	378	BH2-18	BH	SBF	0	0.2043	0.309230162	207	0
B2E0002	2019	175	BH2-19	BH	ENCLOSURE	1	0.2469	0.3727476	136	0
B2E0003	2019	83	BH2-19	BH	ENCLOSURE	1	0.2173	0.387852973	136	1
B2E0005	2019	186	BH2-19	BH	ENCLOSURE	0	0.2041	0.405346068	136	1
B2E0006	2019	177	BH2-19	BH	ENCLOSURE	0	0.2282	0.163012576	136	0
WA00600	2019	206	BH2-19	BH	SBF	0	0.3266	0.312821862	149	0
DE00901	2019	301	BH2-19	BH	ENCLOSURE	1	0.167	0.389876466	163	0
WA00603	2019	325	BH2-19	BH	SBF	1	0.2152	0.652596647	191	1
